Age,ProvinceTerritory,GenderIdentity,OnlineContact_LargeFriendGroup,Intervene_MorallyWrong,OverallMentalHealth,CyberBullying_Frequency
18,Ontario,Girl,Prefer not to say,Somewhat disagree,Fair,More than four times
17,Ontario,Boy,At least every week,Disagree,Excellent,Never
18,Ontario,Girl,Don't know/doesn't apply,Agree,Fair,Never
18,Ontario,Girl,Don't know/doesn't apply,Somewhat agree,Very good,Prefer not to say
15,Ontario,Boy,Almost all the time throughout the day,Agree,Excellent,Never
13,Ontario,Girl,At least every week,Somewhat disagree,Good,once or twice
13,Alberta,Boy,Never or almost never,Agree,Excellent,Never
14,Ontario,Girl,Daily or almost daily,Agree,Very good,Never
13,Ontario,Boy,Don't know/doesn't apply,Agree,Poor,Never
14,Ontario,Girl,Daily or almost daily,Agree,Good,once or twice
14,Ontario,Girl,At least every week,Agree,Good,Never
12,Alberta,Girl,Daily or almost daily,Agree,Fair,once or twice
15,Ontario,Boy,Don't know/doesn't apply,Agree,Good,Never
18,Ontario,Girl,At least every week,Somewhat agree,Very good,Three or four times
18,Alberta,Girl,Never or almost never,Agree,Fair,Three or four times
18,Quebec,Girl,Never or almost never,Somewhat disagree,Very good,Three or four times
18,Ontario,Girl,Daily or almost daily,Agree,Good,Never
18,Alberta,Girl,Almost all the time throughout the day,Somewhat disagree,Fair,Never
18,British Columbia,Girl,At least every week,Prefer not to say,Prefer not to say,Prefer not to say
18,Ontario,Girl,Almost all the time throughout the day,Agree,Very good,Never
18,Ontario,Girl,Several times each day,Somewhat agree,Fair,once or twice
18,Alberta,Boy,Several times each day,Agree,Excellent,Never
18,Alberta,Girl,Several times each day,Agree,Fair,Three or four times
18,Ontario,Boy,Never or almost never,Agree,Excellent,More than four times
18,Ontario,Boy,Daily or almost daily,Somewhat agree,Good,Never
18,British Columbia,Girl,Never or almost never,Agree,Poor,Three or four times
18,Manitoba,Girl,Daily or almost daily,Somewhat disagree,Prefer not to say,More than four times
18,Ontario,Girl,At least every week,Agree,Fair,More than four times
18,Ontario,Girl,At least every week,Agree,Good,once or twice
18,Manitoba,Boy,At least every week,Agree,Poor,once or twice
18,Ontario,Girl,Never or almost never,Disagree,Good,Never
18,British Columbia,Girl,At least every week,Prefer not to say,Prefer not to say,More than four times
18,Ontario,Girl,Don't know/doesn't apply,Agree,Poor,Never
18,British Columbia,Girl,Don't know/doesn't apply,Agree,Poor,Never
18,Ontario,Girl,At least every week,Agree,Good,Never
18,Ontario,Girl,Daily or almost daily,Somewhat disagree,Fair,Never
18,Alberta,Girl,At least every week,Prefer not to say,Good,Never
18,Alberta,Girl,At least every week,Agree,Good,Never
18,British Columbia,Girl,Daily or almost daily,Somewhat agree,Good,Three or four times
18,Alberta,Boy,Daily or almost daily,Agree,Good,once or twice
18,Alberta,Boy,Daily or almost daily,Somewhat agree,Good,once or twice
18,Alberta,Boy,Daily or almost daily,Prefer not to say,Good,Prefer not to say
18,Ontario,Girl,Never or almost never,Agree,Poor,Never
18,Saskatchewan,Girl,At least every week,Agree,Fair,Never
18,Quebec,Girl,Daily or almost daily,Somewhat agree,Fair,once or twice
18,Alberta,Girl,At least every week,Prefer not to say,Very good,once or twice
18,Alberta,Girl,Daily or almost daily,Somewhat disagree,Fair,Never
15,Newfoundland and Labrador,Girl,Almost all the time throughout the day,Somewhat agree,Good,Never
17,Ontario,Boy,Several times each day,Agree,Fair,once or twice
15,Ontario,Boy,Several times each day,Somewhat disagree,Very good,Never
16,Ontario,Boy,Don't know/doesn't apply,Somewhat agree,Good,Never
18,Ontario,Boy,Several times each day,Agree,Fair,Never
16,Alberta,Girl,At least every week,Disagree,Very good,Never
16,Ontario,Boy,Daily or almost daily,Somewhat disagree,Excellent,Never
16,British Columbia,Boy,At least every week,Somewhat agree,Good,Never
16,British Columbia,Boy,At least every week,Somewhat agree,Excellent,Never
15,Ontario,Girl,Several times each day,Agree,Excellent,once or twice
15,Ontario,Boy,Never or almost never,Agree,Good,Never
12,Ontario,Girl,At least every week,Agree,Good,Never
13,Ontario,Girl,At least every week,Somewhat disagree,Fair,once or twice
15,Ontario,Girl,Several times each day,Somewhat agree,Very good,Never
15,Ontario,Girl,Daily or almost daily,Agree,Very good,once or twice
14,British Columbia,Girl,At least every week,Agree,Good,Never
16,New Brunswick,Boy,Daily or almost daily,Agree,Very good,Never
17,British Columbia,Girl,Don't know/doesn't apply,Somewhat agree,Good,Never
12,Ontario,Girl,Never or almost never,Prefer not to say,Good,Prefer not to say
16,Ontario,Boy,At least every week,Somewhat disagree,Good,Three or four times
14,Alberta,Girl,Several times each day,Somewhat agree,Prefer not to say,once or twice
17,Ontario,Boy,Never or almost never,Agree,Very good,Never
16,Ontario,Boy,Don't know/doesn't apply,Somewhat agree,Good,Never
15,Nova Scotia,Girl,Almost all the time throughout the day,Prefer not to say,Excellent,once or twice
17,Ontario,Girl,Daily or almost daily,Agree,Very good,Never
14,British Columbia,Boy,At least every week,Agree,Good,More than four times
12,Alberta,Girl,Daily or almost daily,Agree,Fair,Never
15,Ontario,Boy,Several times each day,Somewhat agree,Very good,Never
15,Ontario,Boy,Daily or almost daily,Agree,Good,Never
12,Ontario,Boy,Daily or almost daily,Somewhat agree,Good,once or twice
14,Newfoundland and Labrador,Boy,Several times each day,Agree,Very good,Never
12,Ontario,Girl,Don't know/doesn't apply,Somewhat disagree,Very good,Never
13,British Columbia,Boy,Daily or almost daily,Somewhat agree,Fair,Never
16,British Columbia,Boy,Almost all the time throughout the day,Somewhat disagree,Excellent,Never
16,British Columbia,Boy,At least every week,Somewhat agree,Fair,Never
12,Ontario,Boy,Don't know/doesn't apply,Agree,Very good,Never
17,Alberta,Girl,At least every week,Agree,Excellent,Never
17,Ontario,Boy,At least every week,Prefer not to say,Very good,Never
13,Ontario,Girl,Never or almost never,Somewhat agree,Good,once or twice
17,Ontario,Boy,Daily or almost daily,Disagree,Excellent,Never
17,Saskatchewan,Boy,Never or almost never,Disagree,Fair,Never
13,Alberta,Girl,Daily or almost daily,Somewhat agree,Excellent,once or twice
12,British Columbia,Boy,Several times each day,Somewhat disagree,Excellent,More than four times
15,British Columbia,Girl,At least every week,Somewhat agree,Good,once or twice
13,Ontario,Girl,Never or almost never,Somewhat agree,Good,Never
15,Ontario,Boy,Daily or almost daily,Somewhat agree,Good,Never
16,Manitoba,Girl,At least every week,Agree,Very good,once or twice
16,Ontario,Boy,At least every week,Somewhat agree,Fair,once or twice
13,Ontario,Boy,Never or almost never,Agree,Good,Never
15,Ontario,Girl,At least every week,Agree,Very good,Never
14,Alberta,Boy,Prefer not to say,Disagree,Good,Never
17,Ontario,Gender diverse,Daily or almost daily,Agree,Poor,once or twice
12,British Columbia,Girl,Almost all the time throughout the day,Somewhat disagree,Very good,Never
14,Ontario,Girl,At least every week,Agree,Very good,Never
14,Ontario,Boy,Daily or almost daily,Agree,Very good,Three or four times
16,Newfoundland and Labrador,Boy,At least every week,Somewhat agree,Good,Never
18,Alberta,Girl,Several times each day,Agree,Fair,once or twice
16,New Brunswick,Boy,Never or almost never,Somewhat agree,Good,Never
16,Manitoba,Girl,At least every week,Agree,Good,once or twice
17,Prince Edward Island,Girl,Several times each day,Somewhat agree,Very good,Never
16,Saskatchewan,Boy,At least every week,Agree,Good,Never
16,Ontario,Boy,Don't know/doesn't apply,Agree,Excellent,Never
16,Alberta,Girl,At least every week,Agree,Fair,Never
13,Alberta,Boy,Don't know/doesn't apply,Prefer not to say,Excellent,Never
14,Ontario,Girl,Daily or almost daily,Agree,Good,Three or four times
14,Alberta,Girl,Several times each day,Agree,Poor,Never
16,Nova Scotia,Girl,Never or almost never,Agree,Very good,Never
18,Ontario,Boy,Daily or almost daily,Somewhat agree,Good,Never
17,Alberta,Prefer not to say,Daily or almost daily,Somewhat agree,Fair,once or twice
13,Ontario,Boy,Don't know/doesn't apply,Agree,Very good,Never
14,Ontario,Boy,Don't know/doesn't apply,Somewhat agree,Very good,Never
12,Ontario,Girl,Prefer not to say,Somewhat agree,Good,Never
14,Ontario,Boy,Don't know/doesn't apply,Somewhat agree,Fair,Never
14,Alberta,Girl,At least every week,Agree,Good,Never
13,Ontario,Boy,Daily or almost daily,Agree,Very good,Never
15,Ontario,Girl,Daily or almost daily,Agree,Good,once or twice
16,Ontario,Girl,Several times each day,Somewhat agree,Good,Three or four times
18,British Columbia,Girl,Almost all the time throughout the day,Agree,Poor,Three or four times
12,Ontario,Boy,At least every week,Prefer not to say,Good,Never
13,Alberta,Girl,Never or almost never,Agree,Very good,Never
14,Ontario,Boy,Prefer not to say,Somewhat disagree,Prefer not to say,Never
15,Ontario,Girl,At least every week,Somewhat agree,Very good,Never
15,British Columbia,Boy,Almost all the time throughout the day,Agree,Very good,Never
16,Ontario,Girl,At least every week,Somewhat agree,Good,Never
13,Ontario,Girl,Daily or almost daily,Somewhat agree,Very good,once or twice
17,British Columbia,Boy,Don't know/doesn't apply,Somewhat agree,Good,Never
13,Ontario,Boy,At least every week,Somewhat disagree,Good,Never
12,Saskatchewan,Girl,Several times each day,Agree,Very good,once or twice
17,Ontario,Girl,At least every week,Somewhat agree,Excellent,once or twice
17,Ontario,Boy,At least every week,Agree,Excellent,once or twice
12,Ontario,Girl,At least every week,Somewhat agree,Good,once or twice
18,Ontario,Girl,Don't know/doesn't apply,Agree,Poor,Never
17,Ontario,Girl,Several times each day,Somewhat disagree,Very good,once or twice
14,Ontario,Girl,At least every week,Agree,Good,Never
18,Ontario,Girl,Never or almost never,Somewhat agree,Fair,Never
16,Ontario,Boy,Daily or almost daily,Agree,Very good,Three or four times
18,Ontario,Girl,Daily or almost daily,Agree,Good,Never
13,New Brunswick,Boy,Daily or almost daily,Disagree,Excellent,Never
17,Alberta,Girl,At least every week,Somewhat agree,Fair,Prefer not to say
17,British Columbia,Girl,At least every week,Agree,Excellent,Never
13,Alberta,Girl,At least every week,Somewhat agree,Good,once or twice
18,British Columbia,Girl,Daily or almost daily,Somewhat agree,Very good,Never
14,Ontario,Girl,Daily or almost daily,Somewhat disagree,Excellent,More than four times
16,Alberta,Girl,Daily or almost daily,Somewhat agree,Good,Never
14,Ontario,Girl,Several times each day,Somewhat agree,Good,Never
17,Alberta,Boy,At least every week,Agree,Very good,Never
